id vx vy
262 0.0146351 -0.00592901
227 0.040521 0.0276836
114 0.0178123 0.0248491
162 0.0379249 -0.0443178
306 0.0439195 0.00935346
336 -0.001881 -0.0315792
138 0.00233071 0.037516
198 0.0257801 0.041818
365 0.0231689 -0.0560703
147 -0.0309171 0.0188872
18 7.53395e-05 0.00756797
305 -0.00372097 0.014205
253 0.0292056 0.0254777
5 -0.0609492 0.0210557
61 0.0139695 -0.0180264
296 0.0220894 0.0308627
311 -0.0677366 0.00293012
176 0.0459763 -0.0498622
200 -0.0126654 0.0121545
158 0.0325435 0.00854776
369 0.00206638 -0.0285715
32 -0.0110437 -0.0181699
214 0.00956924 -0.00210642
315 0.0302602 -0.0152266
340 -0.0123875 0.0438626
25 0.0158322 -0.0589272
260 -0.0404539 -0.0321244
160 -0.00826128 -0.0139905
258 0.00563496 0.0256057
243 -0.0484171 0.0265089
309 -0.0302133 -0.0611919
334 -0.0508225 -0.00553244
351 0.00643267 0.0443967
270 -0.0424874 0.0404874
373 0.0429108 0.0408289
274 -0.0559593 0.0731613
389 0.000457348 -0.010756
377 0.0205128 -0.0247497
341 0.0264468 -0.0248565
284 0.0199277 -0.0300252
293 0.00583055 0.0465829
318 -0.0307812 0.0285564
333 0.008225 0.000512118
332 0.0339428 -0.0517453
71 0.0105628 -0.00236589
277 -0.0155237 0.05122
236 -0.0242579 0.055902
3 -0.0403532 0.0453755
326 0.0500011 0.0071241
282 0.0584707 0.0493117
383 -0.00635322 0.0303906
19 0.0517307 -0.00462993
355 0.0182565 0.00787261
289 -0.0376253 -0.0188835
225 0.0145438 -0.0532391
166 0.0196869 -0.0189624
348 0.0062657 -0.0576403
376 -0.0114479 0.0125792
108 0.00636964 0.0207862
14 0.0298546 -0.0247639
261 0.0745062 0.0667736
130 0.0154576 0.022437
189 -0.0116328 -0.0256827
257 -0.0194634 0.00583308
210 -0.0278016 -0.035534
139 0.0360441 -0.0274451
149 0.0231813 0.0519164
185 0.0472391 -0.00385432
82 -0.0130364 -0.0196276
99 0.00184044 -0.0556397
173 -0.0124316 -0.021124
6 0.0313179 -0.0418701
382 -0.0095176 -0.0250455
129 -0.0489667 0.0135836
105 -0.0198276 0.0400367
86 -0.0447148 -0.00216405
398 0.0247963 0.00573732
222 0.0375885 -0.00603024
17 0.023512 -0.0239176
247 0.00832436 0.0180001
28 0.020058 0.0250095
